#f key:  f_a: 0 = no measurement (set to -30). 1 = Si 2 = Si lower limit (error set to 0) 3 = Si upper limit 4 = S/H 5 = O/H 13 = Si + S limits
# f_Zn:  0=No measurement; 1=Zn measurement; 2=Zn lower limit; 3=Zn upper limit
# f_Fe: 0=No measurement; 1=Fe measurement; 2=Fe lower limit; 3=Fe upper limit; 4=[Ni/H]-0.1dex; 5=[Cr/H] - 0.2dex; 6=[Al/H]; 11-16=Fe, Ni, Cr, Al limits; 25=Mean of Fe limits.
# z_em      z_abs         NHI       error       f_a       α /H      error       f_zn     Zn/H       error       f_Fe    Fe/H       error
3.920		3.6076		 20.50      0.10 		 1		 -1.80 		0.00		 0		 -30.00 	0.00		 1		 -2.12 		0.01
4.170		3.6667		 20.45      0.10 		13		 -1.68 		0.20		 0		 -30.00 	0.00		 1		 -2.31 		0.06
4.180		3.6845		 20.95      0.10 		 1		 -2.59 		0.03		 0		 -30.00 	0.00		 1		 -3.05 		0.12
4.130		3.6926		 20.70      0.10 		13		 -1.85 		0.21		 0		 -30.00 	0.00		 1		 -2.63 		0.06
4.520		3.6947		 20.50      0.15 		 2		 -1.20 		0.00		 1		 -0.62 		0.13		13		 -1.16 		0.00
4.350		3.6970		 20.63      0.07 		 1		 -1.72 		0.01		 3		 -0.63 		0.00		 1		 -2.20 		0.05
4.050		3.7045		 20.55      0.15 		 2		 -1.74 		0.00		 0		 -30.00 	0.00		11		 -1.62 		0.00
4.060		3.7274		 21.15      0.10 		13		 -2.11 		0.29		 0		 -30.00 	0.00		 0		 -30.00 	0.00
3.990		3.7358		 20.72      0.10 		 1		 -2.33 		0.01		 0		 -30.00 	0.00		 6		 -2.63 		0.02
4.520		3.7609		 20.85      0.05 		 2		 -2.51 		0.00		 0		 -30.00 	0.00		 6		 -2.71 		0.03
3.990		3.7612		 20.40      0.15 		 1		 -2.02 		0.05		 3		  0.09 		0.00		 6		 -2.30 		0.05
4.180		3.7617		 20.55      0.15 		13		 -1.52 		0.21		 0		 -30.00 	0.00		 0		 -30.00 	0.00
4.130		3.7736		 20.55      0.10 		 1		 -0.65 		0.04		 3		 -0.12 		0.00		 4		 -0.84 		0.03
4.180		3.8109		 20.35      0.20 		 1		 -2.03 		0.10		 0		 -30.00 	0.00		 1		 -2.17 		0.11
4.050		3.8382		 20.85      0.15 		13		 -2.17 		0.24		 0		 -30.00 	0.00		 1		 -2.44 		0.03
4.370		3.8567		 20.60      0.10 		 2		 -1.53 		0.00		 0		 -30.00 	0.00		 1		 -2.00 		0.06
4.170		3.8643		 20.55      0.10 		 1		 -2.66 		0.04		 0		 -30.00 	0.00		 6		 -2.87 		0.05
4.460		3.8910		 21.20      0.10 		13		 -1.46 		0.15		 0		 -30.00 	0.00		 4		 -1.70 		0.06
4.110		3.9000		 20.50      0.10 		 1		 -2.01 		0.01		 3		 -0.73 		0.00		 6		 -2.45 		0.03
3.970		3.9146		 21.30      0.05 		 4		 -1.78 		0.01		 0		 -30.00 	0.00		 1		 -2.05 		0.09
4.430		4.0244		 20.55      0.10 		 0		 -30.00 	0.00		 0		 -30.00 	0.00		 1		 -1.86 		0.08
4.560		4.0803		 20.52      0.11 		 1		 -1.87 		0.02		 0		 -30.00 	0.00		 1		 -2.14 		0.12
4.250		4.1798		 20.70      0.10 		 1		 -1.70 		0.01		 0		 -30.00 	0.00		 1		 -2.07 		0.05
4.370		4.2029		 20.40      0.10 		 1		 -2.62 		0.03		 0		 -30.00 	0.00		 3		 -2.57 		0.00
4.410		4.2241		 20.80      0.10 		 2		 -0.93 		0.00		 0		 -30.00 	0.00		 1		 -1.10 		0.06
4.460		4.2442		 20.90      0.15 		 1		 -2.19 		0.03		 0		 -30.00 	0.00		 1		 -2.52 		0.08
4.440		4.2824		 21.15      0.10 		 4		 -1.76 		0.03		 0		 -30.00 	0.00		11		 -1.87 		0.00
4.690		4.3829		 20.60      0.14 		 1		 -1.81 		0.02		 0		 -30.00 	0.00		 1		 -2.19 		0.12
4.780		4.4679		 20.67      0.09 		 1		 -1.55 		0.08		 0		 -30.00 	0.00		 1		 -1.96 		0.21
4.850		4.7430		 20.65      0.15 		 0		 -30.00 	0.00		 0		 -30.00 	0.00		 1		 -2.82 		0.15
